2024/09/11 21:45:22 handlers.go:34: Received request to list VM instances
2024/09/11 21:45:22 handlers.go:58: Starting listVMInstances function
2024/09/11 21:45:22 handlers.go:98: Listing VM instances for project: ops-inf1
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: bomr-ui, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-b
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic1-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic4-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic5-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic6-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic7-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic8-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: prod-eu-apm-elastic9-warm, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/europe-west3-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: alto-jumper, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: diffy, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: epc-ui-nonprod, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: epc-ui-noprod, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gcds-v2, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-a
2024/09/11 21:45:24 handlers.go:109: Found VM instance: Name: gke-stage-apm-core-1-3e22c819-78pw, Zone: https://www.googleapis.com/compute/v1/projects/ops-inf1/zones/us-central1-a
